ID,Growth,Production,BGC type
ASPT,0.9882080585490451,1.0391471118748636,T1PKS
GLYCL,0.9689399980181325,1.0068347957812163,T1PKS
ASPTA,0.9919743308843664,1.006528144267258,T1PKS
PGCD,0.9598729553822697,1.0027141690148178,T1PKS
PSP_L,0.9598729553822779,1.0027141690045884,T1PKS
AGT,0.9651161436478303,1.00271416900347,T1PKS
PSERT,0.9598729553822792,1.0027141690001264,T1PKS
GHMT2r,0.9613906653229617,1.0027141689996064,T1PKS
FUM,0.9890228034680832,1.002594198440494,T1PKS
MCOALY,0.989022803468092,1.0025941984215092,T1PKS
