ID,Growth,Production,BGC type
ASPT,0.9882080588668488,1.0424539359443268,T1PKS
GLYCL,0.9689399977142691,1.009525562936372,T1PKS
ASPTA,0.9919743311994084,1.0075600803843423,T1PKS
FUM,0.9890228031539304,1.0065072485024702,T1PKS
MCOALY,0.9890228031539239,1.00650724849988,T1PKS
PGCD,0.9598729556878518,1.0048572366429103,T1PKS
PSERT,0.9598729556878554,1.0048572366359863,T1PKS
AGT,0.9651161436478299,1.0048572366203876,T1PKS
GHMT2r,0.961390665018459,1.0048572366203117,T1PKS
PSP_L,0.9598729553822767,1.0048572366190043,T1PKS
