ID,Growth,Production,BGC type
ASPT,0.9882080588668587,1.0505032465332396,T1PKS
MCOALY,0.989022803468085,1.0198710764326555,T1PKS
FUM,0.9890228034680907,1.0198710764185352,T1PKS
GLYCL,0.968939997714278,1.013390377668128,T1PKS
ASPTA,0.9919743308843779,1.0100535178973635,T1PKS
PSERT,0.9598729556878635,1.0046289118741498,T1PKS
PGCD,0.9598729556878597,1.0046289118727945,T1PKS
PSP_L,0.9598729556878639,1.004628911871545,T1PKS
GHMT2r,0.9613906653229621,1.0046289118672502,T1PKS
AGT,0.965116143647829,1.0046289118618903,T1PKS
