ID,Growth,Production,BGC type
ASPT,0.9882080588668405,1.0259503079280121,T1PKS
FUM,0.9890228031539161,1.008159262136467,T1PKS
MCOALY,0.989022803468075,1.008159262128545,T1PKS
GLYCL,0.9689399980181265,1.0053711367453173,T1PKS
PGCD,0.9598729556878484,1.0049091431095687,T1PKS
GHMT2r,0.9613906653229595,1.0049091431056905,T1PKS
PSERT,0.9598729553822679,1.004909143084721,T1PKS
PSP_L,0.9598729553822646,1.004909143082544,T1PKS
AGT,0.965116143647821,1.004909143073582,T1PKS
ASPTA,0.991974330884358,1.002365243377163,T1PKS
