ID,Growth,Production,BGC type
ASPT,0.9882080585490609,1.0507749283843473,T1PKS
MCOALY,0.9890228031539453,1.0199990936854115,T1PKS
FUM,0.9890228031539468,1.0199990936802987,T1PKS
GLYCL,0.9689399980181481,1.0137469959742091,T1PKS
ASPTA,0.9919743308843854,1.0101372239937834,T1PKS
PGCD,0.9598729556878709,1.0050800925249863,T1PKS
GHMT2r,0.9613906653229772,1.0050800925205874,T1PKS
PSERT,0.9598729553822873,1.005080092507081,T1PKS
PSP_L,0.9598729553822832,1.0050800925069037,T1PKS
AGT,0.9651161436478384,1.0050800924983616,T1PKS
