ID,Growth,Production,BGC type
ASPT,0.9882080588668605,1.0432459237691563,transAT-PKS
GLYCL,0.9689399980181463,1.0198596980619694,transAT-PKS
FUM,0.9890228034680941,1.016438748006584,transAT-PKS
MCOALY,0.9890228031539373,1.0164387479707444,transAT-PKS
AGT,0.9651161433890877,1.009893286378534,transAT-PKS
ASPTA,0.9919743311994212,1.0078065717814286,transAT-PKS
PGCD,0.9598729554298794,1.0040759287608187,transAT-PKS
PSERT,0.9598729554298889,1.0040759287499643,transAT-PKS
GHMT2r,0.961390665018468,1.004075928727242,transAT-PKS
PSP_L,0.9598729553822831,1.0040759287231806,transAT-PKS
