ID,Growth,Production,BGC type
ASPT,0.988208058549025,1.0436861510149102,T1PKS
GLYCL,0.9689399980181274,1.0099327117521493,T1PKS
MCOALY,0.9890228031539209,1.0088071793895173,T1PKS
FUM,0.9890228031539192,1.0088071793818914,T1PKS
ASPTA,0.9919743308843519,1.0079434746194542,T1PKS
GHMT2r,0.9613906653229561,1.0044421778877575,T1PKS
PSERT,0.9598729553822632,1.004442177881718,T1PKS
PSP_L,0.9598729553822619,1.0044421778791397,T1PKS
AGT,0.9651161436478164,1.0044421778771426,T1PKS
PGCD,0.9598729553822608,1.0044421778577106,T1PKS
