ID,Growth,Production,BGC type
ASPT,0.9882080585490401,1.0421340364559772,T1PKS
FUM,0.9890228034680801,1.0130782548292627,T1PKS
MCOALY,0.9890228034680812,1.0130782548284953,T1PKS
GLYCL,0.968939997714268,1.008322324041944,T1PKS
ASPTA,0.9919743308843622,1.0074604456308038,T1PKS
PSP_L,0.959872955687856,1.0013896147568628,T1PKS
AGT,0.9651161433450611,1.0013896147469055,T1PKS
GHMT2r,0.9613906653229577,1.0013896147460866,T1PKS
PGCD,0.9598729553822678,1.0013896147323098,T1PKS
PSERT,0.9598729556878562,1.0013896147115142,T1PKS
