ID,Growth,Production,BGC type
ASPT,0.9882080588668318,1.0390219888479615,T1PKS
GLYCL,0.9689399980181199,1.0087369115032734,T1PKS
MCOALY,0.9890228034680852,1.008462518591961,T1PKS
FUM,0.9890228031539284,1.0084625185719684,T1PKS
ASPTA,0.9919743311994105,1.0064890107272524,T1PKS
PSERT,0.9598729556878545,1.0045932867393828,T1PKS
PGCD,0.9598729556878539,1.0045932867347214,T1PKS
PSP_L,0.9598729556878587,1.004593286734533,T1PKS
AGT,0.9651161436478216,1.0045932867230585,T1PKS
GHMT2r,0.9613906653229618,1.0045932867207017,T1PKS
