ID,Growth,Production,BGC type
ASPT,0.9882080585490501,1.0492673603602694,T1PKS
MCOALY,0.9890228034680869,1.0192882929662235,T1PKS
FUM,0.9890228034680905,1.0192882929373177,T1PKS
GLYCL,0.9689399977142708,1.011768953075849,T1PKS
ASPTA,0.991974330884372,1.009672365641631,T1PKS
PGCD,0.9598729556878536,1.0025786488103368,T1PKS
PSP_L,0.9598729556878586,1.002578648807217,T1PKS
PSERT,0.959872955687856,1.002578648803345,T1PKS
GHMT2r,0.9613906653229601,1.002578648783866,T1PKS
AGT,0.9651161433450894,1.00257864877985,T1PKS
