ID,Growth,Production,BGC type
ASPT,0.9882080585490429,1.0329207495000872,NRPS
FUM,0.9890228034680831,1.0062990807244079,NRPS
MCOALY,0.9890228034680829,1.0062990807212242,NRPS
GLYCL,0.9689399977142732,1.004832041513383,NRPS
ASPTA,0.9919743308843629,1.0045730102577288,NRPS
PSERT,0.9598729556878429,1.0012302603826806,NRPS
PSP_L,0.9598729553822656,1.001230260371558,NRPS
AGT,0.9651161433450568,1.0012302603623242,NRPS
PGCD,0.9598729553822668,1.0012302603600571,NRPS
GHMT2r,0.9613906653229612,1.001230260358915,NRPS
