ID,Growth,Production,BGC type
ASPT,0.9882080585490619,1.044062661135232,T1PKS
GLYCL,0.9689399980181334,1.0110834727446247,T1PKS
MCOALY,0.9890228034680821,1.0080605004505494,T1PKS
FUM,0.9890228034680855,1.008060500448872,T1PKS
ASPTA,0.9919743308843709,1.0080605004270584,T1PKS
PSERT,0.959872955687858,1.0064079422523864,T1PKS
PSP_L,0.9598729556878556,1.0064079422449042,T1PKS
AGT,0.9651161436478227,1.0064079422394294,T1PKS
GHMT2r,0.9613906653229704,1.0064079422280139,T1PKS
PGCD,0.9598729553822777,1.0064079422208851,T1PKS
