ID,Growth,Production,BGC type
ASPT,0.988208058549046,1.0402992632508425,T1PKS
GLYCL,0.9689399980181365,1.0077726133778544,T1PKS
ASPTA,0.9919743311994141,1.0068881920688035,T1PKS
MCOALY,0.9890228034680888,1.0039569309335787,T1PKS
FUM,0.989022803153928,1.0039569309153447,T1PKS
PGCD,0.9598729556878571,1.0034613558447807,T1PKS
GHMT2r,0.9613906653229651,1.0034613558123446,T1PKS
PSERT,0.9598729553822778,1.0034613558070506,T1PKS
PSP_L,0.9598729553822717,1.0034613558068977,T1PKS
AGT,0.9651161436478337,1.00346135580192,T1PKS
