ID,Growth,Production,BGC type
ASPT,0.9882080585490505,1.0440626611496318,T1PKS
GLYCL,0.9689399977142767,1.0110834727740476,T1PKS
FUM,0.9890228034680885,1.0080605004448842,T1PKS
MCOALY,0.9890228031539293,1.008060500439328,T1PKS
ASPTA,0.9919743308843698,1.008060500429906,T1PKS
PSERT,0.9598729556878515,1.0064079422622616,T1PKS
AGT,0.9651161433450648,1.0064079422607235,T1PKS
PGCD,0.9598729556878632,1.006407942254352,T1PKS
GHMT2r,0.9613906653229661,1.0064079422483088,T1PKS
PSP_L,0.9598729553822791,1.0064079422301713,T1PKS
