ID,Growth,Production,BGC type
ASPT,0.9882080585490574,1.038770938019296,transAT-PKS
GLYCL,0.96893999801814,1.021419170971673,transAT-PKS
MCOALY,0.9890228031987504,1.0143100839340058,transAT-PKS
FUM,0.9890228031539342,1.0143100839135237,transAT-PKS
AGT,0.9651161436478358,1.0104859193106197,transAT-PKS
ASPTA,0.9919743308843797,1.0064104726704295,transAT-PKS
PGCD,0.9598729556878592,1.0019514099038331,transAT-PKS
PSP_L,0.9598729556878548,1.0019514098997273,transAT-PKS
PSERT,0.9598729556878565,1.001951409891717,transAT-PKS
GHMT2r,0.9613906653229656,1.0019514098778552,transAT-PKS
