ID,Growth,Production,BGC type
ASPT,0.9882080585490557,1.0336738198802928,NRPS
AGT,0.9651161436478303,1.0058290711436881,NRPS
ASPTA,0.9919743308843721,1.0048103275446318,NRPS
GLYCL,0.9689399980181379,1.0023834692842744,NRPS
FUM,0.9890228034680896,1.0013153351212014,NRPS
MCOALY,0.9890228031539302,1.001315335093228,NRPS
PSERT,0.9598729556878559,1.0010666229124783,NRPS
PSP_L,0.959872955687863,1.0010666229102787,NRPS
GHMT2r,0.9613906653229645,1.0010666228889313,NRPS
PGCD,0.9598729553822751,1.0010666228811316,NRPS
