ID,Growth,Production,BGC type
ASPT,0.9882080585490598,1.0465434056123242,T1PKS
MCOALY,0.989022803468088,1.0133949720038342,T1PKS
FUM,0.9890228031539321,1.013394971963752,T1PKS
GLYCL,0.9689399977142844,1.011410931486526,T1PKS
ASPTA,0.9919743311994145,1.0088301297754863,T1PKS
PSP_L,0.9598729556878595,1.0045743717631377,T1PKS
AGT,0.9651161433450771,1.0045743717591888,T1PKS
PSERT,0.9598729556878703,1.004574371756206,T1PKS
GHMT2r,0.9613906650184593,1.004574371744461,T1PKS
PGCD,0.9598729553822828,1.004574371736579,T1PKS
