ID,Growth,Production,BGC type
ASPT,0.9882080588668521,1.0306137184089461,T1PKS
MCOALY,0.9890228031539324,1.010405606278232,T1PKS
FUM,0.9890228031539294,1.0104056062777558,T1PKS
GLYCL,0.9689399977142799,1.0078924436783978,T1PKS
PSERT,0.9598729556878544,1.0065289192911477,T1PKS
GHMT2r,0.9613906653229617,1.0065289192750015,T1PKS
PSP_L,0.9598729553822688,1.0065289192690565,T1PKS
AGT,0.9651161436478258,1.0065289192568445,T1PKS
PGCD,0.9598729553822708,1.006528919240698,T1PKS
ASPTA,0.9919743311994288,1.0038445309140687,T1PKS
