ID,Growth,Production,BGC type
ASPT,0.9882080585490506,1.0454523975780226,transAT-PKS
GLYCL,0.9689399977142761,1.0203775978249383,transAT-PKS
FUM,0.9890228034680799,1.0174848812584,transAT-PKS
MCOALY,0.9890228034680841,1.0174848812523938,transAT-PKS
AGT,0.9651161436478314,1.0134848896715063,transAT-PKS
PGCD,0.9598729556878537,1.0099949279694895,transAT-PKS
PSP_L,0.9598729553822699,1.009994927945892,transAT-PKS
GHMT2r,0.9613906653229614,1.009994927944117,transAT-PKS
PSERT,0.9598729553822754,1.00999492793627,transAT-PKS
ASPTA,0.9919743308843765,1.0084919593064892,transAT-PKS
