ID,Growth,Production,BGC type
ASPT,0.9882080588668449,1.0523625443424434,T1PKS
MCOALY,0.9890228034680835,1.0207465022529738,T1PKS
FUM,0.9890228034680874,1.0207465022171693,T1PKS
GLYCL,0.9689399977142668,1.015832282212068,T1PKS
ASPTA,0.9919743311994091,1.0106257862257468,T1PKS
GHMT2r,0.9613906650184533,1.0077200777522637,T1PKS
PSP_L,0.9598729553822688,1.007720077747948,T1PKS
AGT,0.9651161436478314,1.0077200777408624,T1PKS
PSERT,0.9598729553822688,1.0077200777404678,T1PKS
PGCD,0.9598729553822679,1.007720077737365,T1PKS
