ID,Growth,Production,BGC type
ASPT,0.9882080585490577,1.0385122623535867,T1PKS
GLYCL,0.9689399977589801,1.0065236887648383,T1PKS
ASPTA,0.9919743308843793,1.0063295224224755,T1PKS
AGT,0.9651161433450738,1.0027227595729986,T1PKS
PGCD,0.959872955687867,1.0027227595724764,T1PKS
PSP_L,0.9598729554298855,1.0027227595679788,T1PKS
PSERT,0.9598729554298877,1.0027227595590147,T1PKS
GHMT2r,0.9613906650184648,1.00272275955777,T1PKS
MCOALY,0.9890228034681018,1.0015545306128832,T1PKS
FUM,0.9890228031539363,1.001554530605491,T1PKS
