ID,Growth,Production,BGC type,BGC
HEMEAS,1.0000000003164662,1.0000000000203204,T1PKS,
PCPSredO,1.0000000003164673,1.000000000020046,T1PKS,
HOXPR2,1.0000000003164633,1.0000000000195979,T1PKS,
HPPK2,1.0000000003164633,1.0000000000195979,T1PKS,
HPYRI,1.0000000003164633,1.0000000000195979,T1PKS,
HPYRRx,1.0000000003164633,1.0000000000195979,T1PKS,
HPYRRy,1.0000000003164633,1.0000000000195979,T1PKS,
CYSTS,1.0000000003164642,1.0000000000195979,T1PKS,
HSDy,1.0000000003164633,1.0000000000195979,T1PKS,
HMPK4,1.0000000003164633,1.0000000000195979,T1PKS,
HSDxi,1.0000000003164633,1.0000000000195979,T1PKS,
DCTPD,1.0000000003164604,1.0000000000195346,T1PKS,
GLUTRR,1.0000000003164622,1.0000000000192577,T1PKS,
GLUTPAT,1.0000000003164622,1.0000000000192577,T1PKS,
GLUTCOADHc,1.0000000003164622,1.0000000000192577,T1PKS,
GLUSy,1.0000000003164622,1.0000000000192577,T1PKS,
GLUSx,1.0000000003164622,1.0000000000192577,T1PKS,
GLUSAD,1.0000000003164622,1.0000000000192577,T1PKS,
PRDX,0.9999997792081421,1.0000000000190952,T1PKS,
HMPK2,1.0000000003164642,1.0000000000189264,T1PKS,
HMPK1,1.0000000003164642,1.0000000000189264,T1PKS,
HMPK3,1.0000000003164642,1.0000000000189264,T1PKS,
REDS32,1.0000000003164622,1.0000000000188598,T1PKS,
REDS31,1.0000000003164622,1.0000000000188598,T1PKS,
REDS30,1.0000000003164622,1.0000000000188598,T1PKS,
REDS3,1.0000000003164622,1.0000000000188598,T1PKS,
REDS29,1.0000000003164622,1.0000000000188598,T1PKS,
REDS28,1.0000000003164622,1.0000000000188598,T1PKS,
REDS27b,1.0000000003164622,1.0000000000188598,T1PKS,
REDS27,1.0000000003164622,1.0000000000188598,T1PKS,
REDS34,1.0000000003164622,1.0000000000188598,T1PKS,
REDS26,1.0000000003164622,1.0000000000188598,T1PKS,
REDS33,1.0000000003164622,1.0000000000188598,T1PKS,
REDS6,1.0000000003164622,1.0000000000188598,T1PKS,
REDS35,1.0000000003164622,1.0000000000188598,T1PKS,
REDS37,1.0000000003164622,1.0000000000188598,T1PKS,
REDS5x,1.0000000003164622,1.0000000000188598,T1PKS,
RNDR8,1.0000000003164622,1.0000000000188598,T1PKS,
REDS5y,1.0000000003164622,1.0000000000188598,T1PKS,
REDS23,1.0000000003164622,1.0000000000188598,T1PKS,
REDS7,1.0000000003164622,1.0000000000188598,T1PKS,
REDS9x,1.0000000003164622,1.0000000000188598,T1PKS,
REDS9y,1.0000000003164622,1.0000000000188598,T1PKS,
RNDR7,1.0000000003164622,1.0000000000188598,T1PKS,
REDS25,1.0000000003164622,1.0000000000188598,T1PKS,
REDS24,1.0000000003164622,1.0000000000188598,T1PKS,
REDS13x,1.0000000003164622,1.0000000000188598,T1PKS,
REDS14,1.0000000003164622,1.0000000000188598,T1PKS,
REDS21y,1.0000000003164622,1.0000000000188598,T1PKS,
REDS21x,1.0000000003164622,1.0000000000188598,T1PKS,
REDS2,1.0000000003164622,1.0000000000188598,T1PKS,
REDS19,1.0000000003164622,1.0000000000188598,T1PKS,
REDS1,1.0000000003164622,1.0000000000188598,T1PKS,
REDS18,1.0000000003164622,1.0000000000188598,T1PKS,
REDS10,1.0000000003164622,1.0000000000188598,T1PKS,
REDS11,1.0000000003164622,1.0000000000188598,T1PKS,
REDS17y,1.0000000003164622,1.0000000000188598,T1PKS,
REDS22,1.0000000003164622,1.0000000000188598,T1PKS,
REDS13y,1.0000000003164622,1.0000000000188598,T1PKS,
REDS17x,1.0000000003164622,1.0000000000188598,T1PKS,
REDS15,1.0000000003164622,1.0000000000188598,T1PKS,
DHORD4,1.0000000003164629,1.0000000000188287,T1PKS,
CMLDC,1.0000000003164624,1.0000000000185345,T1PKS,
PPAKr,1.0000000000429907,1.0000000000185247,T1PKS,
PPA,1.0000000000429907,1.0000000000185247,T1PKS,
RNDR2,1.0000000003164673,1.0000000000184146,T1PKS,
RNDR1,1.0000000003164673,1.0000000000184146,T1PKS,
RNDR6,1.0000000003164673,1.0000000000184146,T1PKS,
RNDR5,1.0000000003164673,1.0000000000184146,T1PKS,
PPNCL3,0.9999922491250671,1.0000000000178353,T1PKS,
IBTMr,1.0000000000429845,1.000000000017795,T1PKS,
ALAD_L,1.0000000003164646,1.000000000017722,T1PKS,
NTP10,1.000000000316463,1.000000000017663,T1PKS,
UPP3MT1,0.9999999999999968,1.0000000000173321,T1PKS,
HBCOA3E,1.0000000003164629,1.0000000000169744,T1PKS,
TRDR,1.000000000316464,1.0000000000167388,T1PKS,
GMPS2,1.0000000003164655,1.0000000000166576,T1PKS,
TKT2h,1.0000000003164642,1.0000000000166511,T1PKS,
RNDR3,1.0000000003164646,1.0000000000165346,T1PKS,
RNDR4,1.0000000003164646,1.0000000000165346,T1PKS,
ADOCBLS,1.000000000316464,1.000000000016399,T1PKS,
MG2t,0.999967936633774,1.00000000001617,T1PKS,
DHNANT4,0.9997937394698752,1.00000000001617,T1PKS,
ORNTA,1.0000000003164657,1.0000000000160256,T1PKS,
TRE6PPP,0.9997799692368621,1.000000000015809,T1PKS,
NTP5,1.0000000003164657,1.000000000015218,T1PKS,
ADNUC,1.0000000003164655,1.000000000015156,T1PKS,
ADOCBIK,1.0000000003164655,1.000000000015156,T1PKS,
ADOXFUTS,1.0000000003164655,1.000000000015156,T1PKS,
ADNK1,1.0000000003164655,1.000000000015156,T1PKS,
