N,Substrate IDs,Product IDs,Full reaction (IDs),Substrate names,Product names,Full reaction (names),gene
1,3 ala__L_c + arg__L_c + asn__L_c + 3 cys__L_c + glu__L_c + 3 gly_c + his__L_c + ile__L_c + leu__L_c + lys__L_c + met__L_c + phe__L_c + 3 ser__L_c + 2 thr__L_c + trp__L_c + tyr__L_c + val__L_c,,3 ala__L_c + arg__L_c + asn__L_c + 3 cys__L_c + glu__L_c + 3 gly_c + his__L_c + ile__L_c + leu__L_c + lys__L_c + met__L_c + phe__L_c + 3 ser__L_c + 2 thr__L_c + trp__L_c + tyr__L_c + val__L_c -> ,L-Alanine + L-Arginine + L-Asparagine + L-Cysteine + L-Glutamate + Glycine + L-Histidine + L-Isoleucine + L-Leucine + L-Lysine + L-Methionine + L-Phenylalanine + L-Serine + L-Threonine + L-Tryptophan + L-Tyrosine + L-Valine,,L-Alanine + L-Arginine + L-Asparagine + L-Cysteine + L-Glutamate + Glycine + L-Histidine + L-Isoleucine + L-Leucine + L-Lysine + L-Methionine + L-Phenylalanine + L-Serine + L-Threonine + L-Tryptophan + L-Tyrosine + L-Valine -> ,
1,lanthipeptide_1,generic_lanthipeptide,lanthipeptide_1 -> generic_lanthipeptide,lanthipeptide,lanthipeptide,lanthipeptide -> lanthipeptide,
2,ala__L_c + 2 arg__L_c + 3 asn__L_c + 2 cys__L_c + 2 gln__L_c + 3 gly_c + 2 ile__L_c + leu__L_c + 2 met__L_c + phe__L_c + pro__L_c + 3 thr__L_c + 2 val__L_c,,ala__L_c + 2 arg__L_c + 3 asn__L_c + 2 cys__L_c + 2 gln__L_c + 3 gly_c + 2 ile__L_c + leu__L_c + 2 met__L_c + phe__L_c + pro__L_c + 3 thr__L_c + 2 val__L_c -> ,L-Alanine + L-Arginine + L-Asparagine + L-Cysteine + L-Glutamine + Glycine + L-Isoleucine + L-Leucine + L-Methionine + L-Phenylalanine + L-Proline + L-Threonine + L-Valine,,L-Alanine + L-Arginine + L-Asparagine + L-Cysteine + L-Glutamine + Glycine + L-Isoleucine + L-Leucine + L-Methionine + L-Phenylalanine + L-Proline + L-Threonine + L-Valine -> ,
2,lanthipeptide_2,generic_lanthipeptide,lanthipeptide_2 -> generic_lanthipeptide,lanthipeptide,lanthipeptide,lanthipeptide -> lanthipeptide,
3,3 ala__L_c + arg__L_c + asn__L_c + 3 cys__L_c + glu__L_c + 3 gly_c + his__L_c + ile__L_c + leu__L_c + lys__L_c + met__L_c + phe__L_c + 3 ser__L_c + 2 thr__L_c + trp__L_c + tyr__L_c + val__L_c,,3 ala__L_c + arg__L_c + asn__L_c + 3 cys__L_c + glu__L_c + 3 gly_c + his__L_c + ile__L_c + leu__L_c + lys__L_c + met__L_c + phe__L_c + 3 ser__L_c + 2 thr__L_c + trp__L_c + tyr__L_c + val__L_c -> ,L-Alanine + L-Arginine + L-Asparagine + L-Cysteine + L-Glutamate + Glycine + L-Histidine + L-Isoleucine + L-Leucine + L-Lysine + L-Methionine + L-Phenylalanine + L-Serine + L-Threonine + L-Tryptophan + L-Tyrosine + L-Valine,,L-Alanine + L-Arginine + L-Asparagine + L-Cysteine + L-Glutamate + Glycine + L-Histidine + L-Isoleucine + L-Leucine + L-Lysine + L-Methionine + L-Phenylalanine + L-Serine + L-Threonine + L-Tryptophan + L-Tyrosine + L-Valine -> ,
3,lanthipeptide_3,generic_lanthipeptide,lanthipeptide_3 -> generic_lanthipeptide,lanthipeptide,lanthipeptide,lanthipeptide -> lanthipeptide,
4,2 ala__L_c + 2 arg__L_c + 2 asn__L_c + asp__L_c + 3 cys__L_c + gln__L_c + 2 gly_c + 2 ile__L_c + leu__L_c + phe__L_c + 5 ser__L_c + thr__L_c + trp__L_c,,2 ala__L_c + 2 arg__L_c + 2 asn__L_c + asp__L_c + 3 cys__L_c + gln__L_c + 2 gly_c + 2 ile__L_c + leu__L_c + phe__L_c + 5 ser__L_c + thr__L_c + trp__L_c -> ,L-Alanine + L-Arginine + L-Asparagine + L-Aspartate + L-Cysteine + L-Glutamine + Glycine + L-Isoleucine + L-Leucine + L-Phenylalanine + L-Serine + L-Threonine + L-Tryptophan,,L-Alanine + L-Arginine + L-Asparagine + L-Aspartate + L-Cysteine + L-Glutamine + Glycine + L-Isoleucine + L-Leucine + L-Phenylalanine + L-Serine + L-Threonine + L-Tryptophan -> ,
4,lanthipeptide_4,generic_lanthipeptide,lanthipeptide_4 -> generic_lanthipeptide,lanthipeptide,lanthipeptide,lanthipeptide -> lanthipeptide,
