N,Substrate IDs,Product IDs,Full reaction (IDs),Substrate names,Product names,Full reaction (names),gene
1,ala__L_c + arg__L_c + 5 asn__L_c + 3 cys__L_c + 2 glu__L_c + 3 gly_c + 4 ile__L_c + 2 lys__L_c + phe__L_c + 3 ser__L_c + 8 thr__L_c + trp__L_c + tyr__L_c + 3 val__L_c,,ala__L_c + arg__L_c + 5 asn__L_c + 3 cys__L_c + 2 glu__L_c + 3 gly_c + 4 ile__L_c + 2 lys__L_c + phe__L_c + 3 ser__L_c + 8 thr__L_c + trp__L_c + tyr__L_c + 3 val__L_c -> ,L-Alanine + L-Arginine + L-Asparagine + L-Cysteine + L-Glutamate + Glycine + L-Isoleucine + L-Lysine + L-Phenylalanine + L-Serine + L-Threonine + L-Tryptophan + L-Tyrosine + L-Valine,,L-Alanine + L-Arginine + L-Asparagine + L-Cysteine + L-Glutamate + Glycine + L-Isoleucine + L-Lysine + L-Phenylalanine + L-Serine + L-Threonine + L-Tryptophan + L-Tyrosine + L-Valine -> ,
1,lanthipeptide_1,generic_lanthipeptide,lanthipeptide_1 -> generic_lanthipeptide,lanthipeptide,lanthipeptide,lanthipeptide -> lanthipeptide,
2,8 ala__L_c + asn__L_c + 3 cys__L_c + gln__L_c + glu__L_c + 2 gly_c + 4 ile__L_c + 2 lys__L_c + 3 pro__L_c + 7 ser__L_c + 5 thr__L_c,,8 ala__L_c + asn__L_c + 3 cys__L_c + gln__L_c + glu__L_c + 2 gly_c + 4 ile__L_c + 2 lys__L_c + 3 pro__L_c + 7 ser__L_c + 5 thr__L_c -> ,L-Alanine + L-Asparagine + L-Cysteine + L-Glutamine + L-Glutamate + Glycine + L-Isoleucine + L-Lysine + L-Proline + L-Serine + L-Threonine,,L-Alanine + L-Asparagine + L-Cysteine + L-Glutamine + L-Glutamate + Glycine + L-Isoleucine + L-Lysine + L-Proline + L-Serine + L-Threonine -> ,
2,lanthipeptide_2,generic_lanthipeptide,lanthipeptide_2 -> generic_lanthipeptide,lanthipeptide,lanthipeptide,lanthipeptide -> lanthipeptide,
3,2 ala__L_c + asn__L_c + 3 cys__L_c + gln__L_c + 2 lys__L_c + 2 pro__L_c + 4 ser__L_c + 2 thr__L_c,,2 ala__L_c + asn__L_c + 3 cys__L_c + gln__L_c + 2 lys__L_c + 2 pro__L_c + 4 ser__L_c + 2 thr__L_c -> ,L-Alanine + L-Asparagine + L-Cysteine + L-Glutamine + L-Lysine + L-Proline + L-Serine + L-Threonine,,L-Alanine + L-Asparagine + L-Cysteine + L-Glutamine + L-Lysine + L-Proline + L-Serine + L-Threonine -> ,
3,lanthipeptide_3,generic_lanthipeptide,lanthipeptide_3 -> generic_lanthipeptide,lanthipeptide,lanthipeptide,lanthipeptide -> lanthipeptide,
