N,Substrate IDs,Product IDs,Full reaction (IDs),Substrate names,Product names,Full reaction (names),gene
1,malcoa_c,co2_c + coa_c,malcoa_c -> co2_c + coa_c,Malonyl-CoA,CO2 + CoA,Malonyl-CoA -> CO2 + CoA,
2,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,AJF34463.1
3,amet_c,ahcys_c,amet_c -> ahcys_c,S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine,S-Adenosyl-L-methionine -> S-Adenosyl-L-homocysteine,
4,atp_c + ile__L_c,amp_c + h2o_c + ppi_c,atp_c + ile__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Isoleucine,AMP + H2O + Diphosphate,ATP + L-Isoleucine -> AMP + H2O + Diphosphate,AJF34463.1
5,atp_c + ser__L_c,amp_c + h2o_c + ppi_c,atp_c + ser__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Serine,AMP + H2O + Diphosphate,ATP + L-Serine -> AMP + H2O + Diphosphate,AJF34463.1
6,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,AJF34463.1
7,atp_c + ile__L_c,amp_c + h2o_c + ppi_c,atp_c + ile__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Isoleucine,AMP + H2O + Diphosphate,ATP + L-Isoleucine -> AMP + H2O + Diphosphate,AJF34463.1
8,atp_c + ile__L_c,amp_c + h2o_c + ppi_c,atp_c + ile__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Isoleucine,AMP + H2O + Diphosphate,ATP + L-Isoleucine -> AMP + H2O + Diphosphate,AJF34463.1
9,atp_c + ser__L_c,amp_c + h2o_c + ppi_c,atp_c + ser__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Serine,AMP + H2O + Diphosphate,ATP + L-Serine -> AMP + H2O + Diphosphate,AJF34464.1
10,atp_c + thr__L_c,amp_c + h2o_c + ppi_c,atp_c + thr__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Threonine,AMP + H2O + Diphosphate,ATP + L-Threonine -> AMP + H2O + Diphosphate,AJF34464.1
11,ala__L_c + atp_c,amp_c + h2o_c + ppi_c,ala__L_c + atp_c -> amp_c + h2o_c + ppi_c,L-Alanine + ATP,AMP + H2O + Diphosphate,L-Alanine + ATP -> AMP + H2O + Diphosphate,AJF34464.1
12,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,AJF34464.1
13,atp_c + ile__L_c,amp_c + h2o_c + ppi_c,atp_c + ile__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Isoleucine,AMP + H2O + Diphosphate,ATP + L-Isoleucine -> AMP + H2O + Diphosphate,AJF34464.1
14,h2o_c,,h2o_c -> ,H2O,,H2O -> ,
