N,Substrate IDs,Product IDs,Full reaction (IDs),Substrate names,Product names,Full reaction (names),gene
1,fatty_acid_X_c,coa_c,fatty_acid_X_c -> coa_c,generic fatty acid for acylation in NRPS initiation,CoA,generic fatty acid for acylation in NRPS initiation -> CoA,xtlB
2,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,xtlB
3,atp_c + val__L_c,amp_c + h2o_c + ppi_c,atp_c + val__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Valine,AMP + H2O + Diphosphate,ATP + L-Valine -> AMP + H2O + Diphosphate,xtlB
4,atp_c + leu__L_c,amp_c + h2o_c + ppi_c,atp_c + leu__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Leucine,AMP + H2O + Diphosphate,ATP + L-Leucine -> AMP + H2O + Diphosphate,xtlB
5,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,xtlB
6,atp_c + ser__L_c,amp_c + h2o_c + ppi_c,atp_c + ser__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Serine,AMP + H2O + Diphosphate,ATP + L-Serine -> AMP + H2O + Diphosphate,xtlB
7,atp_c + val__L_c,amp_c + h2o_c + ppi_c,atp_c + val__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Valine,AMP + H2O + Diphosphate,ATP + L-Valine -> AMP + H2O + Diphosphate,xtlB
8,atp_c + leu__L_c,amp_c + h2o_c + ppi_c,atp_c + leu__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Leucine,AMP + H2O + Diphosphate,ATP + L-Leucine -> AMP + H2O + Diphosphate,xtlB
9,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,xtlB
10,atp_c + leu__L_c,amp_c + h2o_c + ppi_c,atp_c + leu__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Leucine,AMP + H2O + Diphosphate,ATP + L-Leucine -> AMP + H2O + Diphosphate,xtlC
11,atp_c + leu__L_c,amp_c + h2o_c + ppi_c,atp_c + leu__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Leucine,AMP + H2O + Diphosphate,ATP + L-Leucine -> AMP + H2O + Diphosphate,xtlC
12,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,xtlC
13,atp_c + ile__L_c,amp_c + h2o_c + ppi_c,atp_c + ile__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Isoleucine,AMP + H2O + Diphosphate,ATP + L-Isoleucine -> AMP + H2O + Diphosphate,xtlC
14,h2o_c,,h2o_c -> ,H2O,,H2O -> ,
