N,Substrate IDs,Product IDs,Full reaction (IDs),Substrate names,Product names,Full reaction (names),gene
1,ala__L_c + asn__L_c + 2 glu__L_c + 6 gly_c + ile__L_c + leu__L_c + phe__L_c + 2 pro__L_c + val__L_c,,ala__L_c + asn__L_c + 2 glu__L_c + 6 gly_c + ile__L_c + leu__L_c + phe__L_c + 2 pro__L_c + val__L_c -> ,L-Alanine + L-Asparagine + L-Glutamate + Glycine + L-Isoleucine + L-Leucine + L-Phenylalanine + L-Proline + L-Valine,,L-Alanine + L-Asparagine + L-Glutamate + Glycine + L-Isoleucine + L-Leucine + L-Phenylalanine + L-Proline + L-Valine -> ,
1,lassopeptide_1,generic_lassopeptide,lassopeptide_1 -> generic_lassopeptide,lassopeptide,lassopeptide,lassopeptide -> lassopeptide,
2,ala__L_c + 2 glu__L_c + 6 gly_c + ile__L_c + 2 leu__L_c + met__L_c + pro__L_c + 2 thr__L_c,,ala__L_c + 2 glu__L_c + 6 gly_c + ile__L_c + 2 leu__L_c + met__L_c + pro__L_c + 2 thr__L_c -> ,L-Alanine + L-Glutamate + Glycine + L-Isoleucine + L-Leucine + L-Methionine + L-Proline + L-Threonine,,L-Alanine + L-Glutamate + Glycine + L-Isoleucine + L-Leucine + L-Methionine + L-Proline + L-Threonine -> ,
2,lassopeptide_2,generic_lassopeptide,lassopeptide_2 -> generic_lassopeptide,lassopeptide,lassopeptide,lassopeptide -> lassopeptide,
