N,Substrate IDs,Product IDs,Full reaction (IDs),Substrate names,Product names,Full reaction (names),gene
1,2 ala__L_c + 3 cys__L_c + gln__L_c + gly_c + 6 ser__L_c + trp__L_c,,2 ala__L_c + 3 cys__L_c + gln__L_c + gly_c + 6 ser__L_c + trp__L_c -> ,L-Alanine + L-Cysteine + L-Glutamine + Glycine + L-Serine + L-Tryptophan,,L-Alanine + L-Cysteine + L-Glutamine + Glycine + L-Serine + L-Tryptophan -> ,
1,thiopeptide_1,generic_thiopeptide,thiopeptide_1 -> generic_thiopeptide,thiopeptide,thiopeptide,thiopeptide -> thiopeptide,
