N,Substrate IDs,Product IDs,Full reaction (IDs),Substrate names,Product names,Full reaction (names),gene
1,2 ala__L_c + asn__L_c + 5 cys__L_c + phe__L_c + 2 pro__L_c + 6 ser__L_c + thr__L_c + tyr__L_c,,2 ala__L_c + asn__L_c + 5 cys__L_c + phe__L_c + 2 pro__L_c + 6 ser__L_c + thr__L_c + tyr__L_c -> ,L-Alanine + L-Asparagine + L-Cysteine + L-Phenylalanine + L-Proline + L-Serine + L-Threonine + L-Tyrosine,,L-Alanine + L-Asparagine + L-Cysteine + L-Phenylalanine + L-Proline + L-Serine + L-Threonine + L-Tyrosine -> ,
1,thiopeptide_1,generic_thiopeptide,thiopeptide_1 -> generic_thiopeptide,thiopeptide,thiopeptide,thiopeptide -> thiopeptide,
