N,Substrate IDs,Product IDs,Full reaction (IDs),Substrate names,Product names,Full reaction (names),gene
30,h_c + nadph_c,nadp_c,h_c + nadph_c -> nadp_c,H+ + NADPH,NADP+,H+ + NADPH -> NADP+,
31,h2o_c,,h2o_c -> ,H2O,,H2O -> ,
32,asp__L_c + atp_c,amp_c + h2o_c + ppi_c,asp__L_c + atp_c -> amp_c + h2o_c + ppi_c,L-Aspartate + ATP,AMP + H2O + Diphosphate,L-Aspartate + ATP -> AMP + H2O + Diphosphate,AZF85912.1
33,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,AZF85940.1
34,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,AZF85940.1
35,asn__L_c + atp_c,amp_c + h2o_c + ppi_c,asn__L_c + atp_c -> amp_c + h2o_c + ppi_c,L-Asparagine + ATP,AMP + H2O + Diphosphate,L-Asparagine + ATP -> AMP + H2O + Diphosphate,AZF85940.1
36,h2o_c,,h2o_c -> ,H2O,,H2O -> ,
37,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,AZF85929.1
38,emcoa__S_c,co2_c + coa_c,emcoa__S_c -> co2_c + coa_c,Ethylmalonyl-CoA,CO2 + CoA,Ethylmalonyl-CoA -> CO2 + CoA,AZF85917.1
39,h_c + nadph_c,nadp_c,h_c + nadph_c -> nadp_c,H+ + NADPH,NADP+,H+ + NADPH -> NADP+,
40,mmcoa__R_c,co2_c + coa_c,mmcoa__R_c -> co2_c + coa_c,Methylmalonyl-CoA,CO2 + CoA,Methylmalonyl-CoA -> CO2 + CoA,AZF85917.1
41,h_c + nadph_c,nadp_c,h_c + nadph_c -> nadp_c,H+ + NADPH,NADP+,H+ + NADPH -> NADP+,
42,g6p_c,h_c + pi_c,g6p_c -> h_c + pi_c,D-Glucose 6-phosphate,H+ + Phosphate,D-Glucose 6-phosphate -> H+ + Phosphate,
43,g6p_c,h_c + pi_c,g6p_c -> h_c + pi_c,D-Glucose 6-phosphate,H+ + Phosphate,D-Glucose 6-phosphate -> H+ + Phosphate,
44,g6p_c,h_c + pi_c,g6p_c -> h_c + pi_c,D-Glucose 6-phosphate,H+ + Phosphate,D-Glucose 6-phosphate -> H+ + Phosphate,
