N,Substrate IDs,Product IDs,Full reaction (IDs),Substrate names,Product names,Full reaction (names),gene
1,ala__L_c + asp__L_c + gln__L_c + 4 gly_c + his__L_c + 5 leu__L_c + pro__L_c + 2 ser__L_c,,ala__L_c + asp__L_c + gln__L_c + 4 gly_c + his__L_c + 5 leu__L_c + pro__L_c + 2 ser__L_c -> ,L-Alanine + L-Aspartate + L-Glutamine + Glycine + L-Histidine + L-Leucine + L-Proline + L-Serine,,L-Alanine + L-Aspartate + L-Glutamine + Glycine + L-Histidine + L-Leucine + L-Proline + L-Serine -> ,
1,lassopeptide_1,generic_lassopeptide,lassopeptide_1 -> generic_lassopeptide,lassopeptide,lassopeptide,lassopeptide -> lassopeptide,
