,BGC ID,Core Number,Max Growth,Max NP,Gradient,Host Model BGC,Core Class,Core Subclass
0,BGC0002699,1,0.032416211075673156,0.007920792079207921,0.244346634488449,BGC0001660,lanthipeptide,Class II
1,BGC0002699,1,0.06403294931980057,0.01427590940288265,0.2229463042781974,BGC0001471,lanthipeptide,Class II
2,BGC0002699,1,0.028667016827906882,0.007162041181736794,0.2498355941509987,BGC0002667,lanthipeptide,Class II
3,BGC0002699,1,0.04021044067107807,0.009708737864077681,0.24144818365695825,BGC0001727,lanthipeptide,Class II
4,BGC0002699,1,0.10736434163145614,0.018934911242603547,0.1763612662721894,BGC0002307,lanthipeptide,Class II
5,BGC0002699,1,0.032066445951537695,0.0078048780487804895,0.2433970406504067,BGC0000608,lanthipeptide,Class II
6,BGC0002699,1,0.03396836639972762,0.009195402298850573,0.2707048726053634,BGC0002111,lanthipeptide,Class II
7,BGC0002699,1,0.03224041960315051,0.007862407862407864,0.24386803767403684,BGC0002064,lanthipeptide,Class II
8,BGC0002699,1,0.039811403164947586,0.009661835748792272,0.24269015861513638,BGC0000542,lanthipeptide,Class II
9,BGC0002699,1,0.02608794864359035,0.006689895470383229,0.2564362404181172,BGC0000513,lanthipeptide,Class II
10,BGC0002699,1,0.034192510265259435,0.0094302554027505,0.27579886149312377,BGC0000575,lanthipeptide,Class II
11,BGC0002699,1,0.0402852202997104,0.009708737864077673,0.2409999943365698,BGC0000540,lanthipeptide,Class II
12,BGC0002699,1,0.03346597654477783,0.009039548022598856,0.27011158662900053,BGC0001210,lanthipeptide,Class II
13,BGC0002699,1,0.03257532862356279,0.007980049875311736,0.24497219866999306,BGC0000501,lanthipeptide,Class II
14,BGC0002699,1,0.01781391277201613,0.004568165596002856,0.2564380804187492,BGC0002049,lanthipeptide,Class II
15,BGC0002699,1,0.01906943682919512,0.005647058823529413,0.2961313894117639,BGC0000515,lanthipeptide,Class II
16,BGC0002699,1,0.03382984384954586,0.009195402298850578,0.27181332375478934,BGC0000517,lanthipeptide,Class II
17,BGC0002668,5,0.032416211075673045,0.008586762075134162,0.26489098479427636,BGC0001660,lanthipeptide,Class I
18,BGC0002668,5,0.06403294931980019,0.015843595277389863,0.24742879167195764,BGC0001471,lanthipeptide,Class I
19,BGC0002668,5,0.028667016827906705,0.00795492210805435,0.27749389327146207,BGC0002667,lanthipeptide,Class I
20,BGC0002668,5,0.040210440671077964,0.011059907834101435,0.2750506497695873,BGC0001727,lanthipeptide,Class I
21,BGC0002668,5,0.10736434163145628,0.02114537444933921,0.19694969603524215,BGC0002307,lanthipeptide,Class I
22,BGC0002668,5,0.03206644595153777,0.008679927667269449,0.2706856781193488,BGC0000608,lanthipeptide,Class I
23,BGC0002668,5,0.03396836639972755,0.010367170626349892,0.305200741900648,BGC0002111,lanthipeptide,Class I
24,BGC0002668,5,0.032240419603150425,0.00870353581142339,0.26995727470534875,BGC0002064,lanthipeptide,Class I
25,BGC0002668,5,0.03981140316494748,0.01073345259391769,0.2696074928443645,BGC0000542,lanthipeptide,Class I
26,BGC0002668,5,0.026087948643590365,0.007401696222050882,0.2837208982266772,BGC0000513,lanthipeptide,Class I
27,BGC0002668,5,0.034192510265259435,0.010412147505423004,0.3045154457700651,BGC0000575,lanthipeptide,Class I
28,BGC0002668,5,0.04028522029971038,0.011029411764705883,0.27378308180147093,BGC0000540,lanthipeptide,Class I
29,BGC0002668,5,0.03346597654477797,0.009917355371900794,0.29634143078512076,BGC0001210,lanthipeptide,Class I
30,BGC0002668,5,0.03257532862356301,0.008847926267281134,0.27161433640553,BGC0000501,lanthipeptide,Class I
31,BGC0002668,5,0.017813912772016226,0.005176597465624168,0.2905929501213263,BGC0002049,lanthipeptide,Class I
32,BGC0002668,5,0.019069436829195027,0.006106870229007624,0.32024386895674317,BGC0000515,lanthipeptide,Class I
33,BGC0002668,5,0.03382984384954584,0.010201912858661002,0.3015654729011692,BGC0000517,lanthipeptide,Class I
34,BGC0002668,4,0.032416211075673045,0.008586762075134162,0.26489098479427636,BGC0001660,lanthipeptide,Class I
35,BGC0002668,4,0.06403294931980019,0.015843595277389863,0.24742879167195764,BGC0001471,lanthipeptide,Class I
36,BGC0002668,4,0.028667016827906705,0.00795492210805435,0.27749389327146207,BGC0002667,lanthipeptide,Class I
37,BGC0002668,4,0.040210440671077964,0.011059907834101435,0.2750506497695873,BGC0001727,lanthipeptide,Class I
38,BGC0002668,4,0.10736434163145628,0.02114537444933921,0.19694969603524215,BGC0002307,lanthipeptide,Class I
39,BGC0002668,4,0.03206644595153777,0.008679927667269449,0.2706856781193488,BGC0000608,lanthipeptide,Class I
40,BGC0002668,4,0.03396836639972755,0.010367170626349892,0.305200741900648,BGC0002111,lanthipeptide,Class I
41,BGC0002668,4,0.032240419603150425,0.00870353581142339,0.26995727470534875,BGC0002064,lanthipeptide,Class I
42,BGC0002668,4,0.03981140316494748,0.01073345259391769,0.2696074928443645,BGC0000542,lanthipeptide,Class I
43,BGC0002668,4,0.026087948643590365,0.007401696222050882,0.2837208982266772,BGC0000513,lanthipeptide,Class I
44,BGC0002668,4,0.034192510265259435,0.010412147505423004,0.3045154457700651,BGC0000575,lanthipeptide,Class I
45,BGC0002668,4,0.04028522029971038,0.011029411764705883,0.27378308180147093,BGC0000540,lanthipeptide,Class I
46,BGC0002668,4,0.03346597654477797,0.009917355371900794,0.29634143078512076,BGC0001210,lanthipeptide,Class I
47,BGC0002668,4,0.03257532862356301,0.008847926267281134,0.27161433640553,BGC0000501,lanthipeptide,Class I
